bar_id,canonical_bar,song,attribution,iconicity,seq_len,n_models,best_model,plddt_mean,plddt_sd,plddt_best,ptm_mean,ptm_sd,ptm_best,confidence_mean,confidence_best,structural_class
bar_18,"Then you say I won't survive if I leave
But I got a couple of tricks up my sleeve
I no longer need your attention, at ease",Here I Am,primary,0.4448,94,5,0,0.417651,0.010394,0.433764,0.244522,0.006522,0.251688,0.383025,0.395578,disordered
bar_19,"Put my blood, sweat, and tears in perfectin' my craft
Still every team's number one pick in the draft
You could bring anybody, weatherman, pick a day
I'm Kobe, KD, Kyrie, PICK A K!",Ganja Burn,primary,0.4329,136,5,0,0.337391,0.012564,0.350257,0.222184,0.018557,0.248519,0.314349,0.328219,disordered
bar_2,"me against enemies, me against friends somehow, they both seem to become one a sea full of sharks & they ALL smell blood",Fly,primary,0.9158,95,5,0,0.397422,0.004774,0.404087,0.194350,0.006456,0.204311,0.356808,0.364132,disordered
bar_20,"Why is that you could only see the worst in me? / I swear sometimes I feel like it nurtures me / But to keep it all real, it's kinda hurting me / I could say I'm done with it, but it lurks in me",Here I Am,primary,0.4146,142,5,0,0.340365,0.004090,0.345290,0.193861,0.012400,0.216214,0.311064,0.314542,disordered
bar_21,"now tell them btches anyway, cause we don't care what none of them gyal affi say, u CAN’T stop me, i'ma fulfill the prophecy",Wave Ya Hand,primary,0.4055,95,5,0,0.368378,0.009331,0.382793,0.234598,0.029501,0.260089,0.341622,0.358228,disordered
bar_22,"Is this how people act when you not regular? They screaming from Africa to Australia. I told em that I've always been peculiar. Queening down to the letter, as in Julius",Regular Degular,primary,0.3992,134,5,0,0.300853,0.011464,0.313015,0.178670,0.013093,0.195147,0.276417,0.286519,disordered
bar_23,"I don't never clique up, but they know who the clique is, Fast little bitches, but of course I'm the quickest, Mortal Kombat, ninja Nicki, who ya pick is ?",Miami,primary,0.3955,117,5,0,0.335042,0.008164,0.350125,0.183412,0.010917,0.197376,0.304716,0.318670,disordered
bar_24,"The Maybach ain't poppin, if it ain't got no par-tah-tion… Oops, I mean partition, it's all a part of my vision… I sit and count this money while I watch you b*tches audition",Lay It Down,featured,0.3703,131,5,0,0.352280,0.017597,0.374955,0.237935,0.031175,0.288287,0.329411,0.349499,disordered
bar_25,"Say the Queen name you can get some ill press… That went right over your head, you should feel blessed… Must’ve used a lot of starch cause they still pressed",No Flag,featured,0.3698,124,5,0,0.364220,0.009353,0.374886,0.225020,0.019744,0.256297,0.336380,0.349671,disordered
bar_26,"These bitches still my sons, who could ever deny it?
My packs hit different, who could ever supply it?",Seeing Green,primary,0.3582,80,5,0,0.469821,0.006649,0.482319,0.375220,0.051298,0.435824,0.450901,0.472851,uncertain_protein_like
bar_27,"You gotta have real skill, gotta work for that. If it’s really your passion would you give the world for that?",Ganja Burn,primary,0.3307,86,5,0,0.624391,0.031029,0.665254,0.441869,0.038142,0.486868,0.587887,0.626631,confident_protein_like
bar_28,"Who had Eminem on the First album?
Who had Kanye saying she’s a problem?
Who tf came in the Game made her own column?
Who, made Lil Wayne give em 5 million?",Want Some More,primary,0.3251,118,5,0,0.382254,0.029790,0.427641,0.263636,0.038104,0.317851,0.358531,0.401283,disordered
bar_29,"Now don't you feel real stupid? Yeah, that's egg on yo' face
If you wasn't so ugly, I'd put my d*ck in yo' face! 
D*ck in your face
Put my d*ck in your face",Come on a Cone,primary,0.3104,109,5,0,0.364047,0.010650,0.374012,0.200366,0.058397,0.316607,0.331310,0.362531,disordered
bar_3,"You just a heartbreaker, won’t let you break mine cus I’ll be smashin’ windows and cuttin them brake lines",I Lied,primary,0.8298,84,5,0,0.463089,0.008062,0.470571,0.263791,0.010057,0.273804,0.423229,0.431218,disordered
bar_30,But it's kill season you apologized but it's still treason Got 'em steamin' like dry cleanin Move on my time and I ain't no demon,Barbie Dangerous,primary,0.2987,100,5,0,0.370479,0.008261,0.379353,0.183682,0.016433,0.196979,0.333120,0.342008,disordered
bar_31,"You trippin', did you pack?
Can't post on Nicki block unless you sellin' Nicki crack
Here, take a Nicki pack
Check out this Nicki act
Nicki this, Nicki that
All these bchs piggyback",Majesty,primary,0.2726,142,5,0,0.380857,0.007528,0.388949,0.299627,0.011480,0.322452,0.364611,0.369679,disordered
bar_32,"Lookin like every designer fave muse 
Front row next to the who's who's 
Tryna build another Barbie doll screw's loose",Barbie Dangerous,primary,0.2685,94,5,0,0.372474,0.006786,0.384183,0.202967,0.022992,0.235171,0.338572,0.348985,disordered
bar_33,"I know I can really say I'm truly proud of You
And no matter what they say, I never doubted You
I completely understand what You gotta do
Do what You gotta do",Blessings,primary,0.2621,124,5,0,0.374199,0.029222,0.409180,0.257929,0.025816,0.279690,0.350945,0.377195,disordered
bar_34,"I’m in the collard green 6, Cornbread in the guts Got the Halloween kicks trick or treatin’ the clutch Come on Nigga is you trickin’ or what? Flow, flow tighter than the dick in the butt",Roger That,primary,0.2615,144,5,0,0.460528,0.009214,0.473445,0.389635,0.012340,0.410334,0.446350,0.455942,uncertain_protein_like
bar_35,"Benihana to Katana, bitch I been a Donna
He screaming my government, O-Onika Tanya
You look like Nicki now, still you tacky-ana
To keep it 100, bitch you wacky-ana",Bust Down Barbiana,primary,0.2547,125,5,0,0.343998,0.007316,0.355753,0.181867,0.006689,0.193076,0.311572,0.321531,disordered
bar_36,"I ain't never lose NUN, but DAMN, I dun HAD IT
I ain't never STRIKE OUT
They can't average what I batted, NOOO!
If she hating, tell dat bitch to let it GOOOO",Runaway (Film),featured,0.2503,117,5,0,0.326287,0.006011,0.331038,0.185957,0.001947,0.189142,0.298221,0.302659,disordered
bar_37,"This Young Money ENT, fuck that negative Nancy
I'm still balling, I'm still balling, NBA on TNT
Came through dripping, D&G, always ducking TMZ
Flow still need that EMT, tell her get at me and see!",Arctic Tundra,primary,0.2469,151,5,0,0.332432,0.003992,0.337665,0.174260,0.010158,0.184733,0.300797,0.306679,disordered
bar_38,"This one goes out to all of my critics
Don't you feel stupid
Look how I did it
Look how it came to pass when I said it
We can do debit I don't need no credit
Yes I'm epic look how I rep it",Haterade,featured,0.2407,141,5,0,0.474386,0.005733,0.481542,0.435422,0.009085,0.445991,0.466593,0.470443,uncertain_protein_like
bar_39,"I’m just abusive by nature, not cause I hate ya, not cause I wanna get someone to imitate ya, I know it’s hard, I know it intimidate ya",The Crying Game,primary,0.2307,102,5,0,0.336147,0.012064,0.359459,0.185091,0.009699,0.197092,0.305936,0.326986,disordered
bar_4,"you gotta catch me while i care, i ain’t callin’ for u watchin’ my every move, thought i was fallin’ for YOU?",Fallin 4 U,primary,0.7564,81,5,0,0.406090,0.010817,0.417078,0.302994,0.024012,0.342332,0.385471,0.396151,disordered
bar_40,"What you think all the goons is for
Two by the door few more out in New York
And I feed 'em curry chicken, I'm all about my green nah me?
Got some fat btchs in the kitchen",Warning,primary,0.2273,130,5,0,0.339020,0.013617,0.347442,0.239462,0.056249,0.351690,0.319109,0.320968,disordered
bar_41,"Is this the thanks that I get for puttin' you bitches on? Is it my fault that all of you bitches gone? Should've sent a thank-you note, you little ho Now I'ma wrap your coffin with a bow",Roman’s Revenge,primary,0.2262,142,5,0,0.346078,0.004971,0.352024,0.246549,0.021331,0.283330,0.326172,0.332773,disordered
bar_42,"Ayo, even if my name was Natalie Nunn, you bitches still couldn't chin-check me
That's word to Chanel, they ain't nothing to see bitches on TV channelin' me",Endless Fashion,featured,0.2259,121,5,0,0.363046,0.005213,0.371972,0.246091,0.005219,0.255410,0.339655,0.346992,disordered
bar_43,"Yo, Patty, give me the gun back
When he say cock it back, gun off safety
Thinkin' 'bout you lately, JoJo and K-Ci
I be on that calm flex, them gyal hasty
Gyal, them want me face, but them",Fallin 4 U,primary,0.2216,139,5,0,0.321900,0.007844,0.330437,0.191553,0.009212,0.205675,0.295831,0.302232,disordered
bar_44,"They know you pop up like jump rope
So if the Queen Sleeze put a bag on it then it’s gun smoke
So we ain’t playing on the innanet
You got bigger fish to fry
That’s why you got a bigger net",My Life,primary,0.2196,144,5,0,0.350178,0.008483,0.365219,0.224305,0.029404,0.271467,0.325003,0.346469,disordered
bar_45,"This a celebration, this is levitation
Look at how you winning now
This took dedication
This is meditation, higher education
This the official, competitor elimination",Champion,primary,0.2193,139,5,0,0.337662,0.010176,0.355123,0.244507,0.006441,0.256281,0.319031,0.332137,disordered
bar_46,"You know radio already tried to blackball a b*
It's all good cause when you a LEGEND, When you legendary,
You shine no matter what",Barbie Goin Bad,primary,0.2078,102,5,0,0.336408,0.010148,0.349905,0.202720,0.025628,0.236610,0.309670,0.319795,disordered
bar_47,"Look at all the shit that y’all threw at me, and I never dipped. Greatest female rapper to ever live, and that’s on my kid.",Just The Memories,primary,0.2052,93,5,0,0.472457,0.012960,0.490813,0.293679,0.027931,0.320913,0.436702,0.454045,disordered
bar_48,"I remember when I lost everything in a fire
Now I got fire 23′s on my tire
Shout outs to my brothers, Jelani and Macaiah
Thanks to the Messiah, my money getting higher",Top Of The World,primary,0.2019,130,5,0,0.373593,0.007811,0.388063,0.260648,0.036151,0.320267,0.351004,0.359172,disordered
bar_49,"A sea full of sharks and they all smell blood
They start comin' and I start risin'
Must be surprisin', I'm just surmisin'
I win, thrive, soar, higher
Higher, higher, more fire",Fly,primary,0.1953,133,5,0,0.417478,0.008628,0.426182,0.406719,0.065254,0.513822,0.415327,0.430037,uncertain_protein_like
bar_5,everybody wanna try to box me in. suffocatin’ every time it locks me in. paintin' they own pictures then they crop me in.,Fly,primary,0.7451,94,5,0,0.404853,0.027897,0.451669,0.255664,0.019041,0.276923,0.375015,0.412582,disordered
bar_50,"I take the L 'cause I don't want to see my brother lose, Been through it all but I could never fill my mother's shoes. And nah, I don't want no handout I just want my ad-libs to get panned out",Sweetest Girl,primary,0.1942,144,5,0,0.324677,0.007360,0.333339,0.180046,0.009994,0.195853,0.295751,0.304238,disordered
bar_51,"They done went to witch doctors to bury the Barbie
But I double back, kill bitches, bury the body
And that go for anybody, you'll be thoroughly sorry
I could wage war or I come in peace like Gandhi",Ganja Burn,primary,0.193,155,5,0,0.304674,0.012294,0.320073,0.214830,0.019610,0.246865,0.286705,0.305432,disordered
bar_52,Now all the kids want a nicki Minaj book bag bitch I’ve been hot since my part had a zig zag low pink Volvos these bitches are bozo’s,New York Minute (Remix),featured,0.1845,104,5,0,0.402783,0.006618,0.412309,0.277893,0.012787,0.299579,0.377805,0.386455,disordered
bar_53,"Why the fuck I gotta say it tho? You niggas don’t know it yet? Foot ball, touch down on a boeing jet. You my son but I’m just not showing yet, wrist icy BUT IT AINT SNOWING YET",Want Some More,primary,0.1836,132,5,0,0.472363,0.011748,0.485395,0.419978,0.027283,0.457397,0.461886,0.477127,uncertain_protein_like
bar_54,"I live and I learn, but I wait my turn
I'm always on the run, got weight to burn
Ease off the gas, then I make a turn
Three off the pass, they don't play like her",Encore ’07,primary,0.1797,120,5,0,0.377122,0.015694,0.398045,0.307761,0.096901,0.471796,0.363250,0.403453,uncertain_protein_like
bar_55,"Tellin me to come with her,
underneath my comforter,
and she brought a gun with her,
pills and some rum with her.
Took me on the balcony
tellin me to jump with her.",Girl on Fire (Inferno Version),featured,0.1782,127,5,0,0.480482,0.011785,0.498122,0.371269,0.020516,0.396969,0.458640,0.477891,disordered
bar_56,"Body’s hey Wonderland, my face is top-tier. I swear, watch the ice glare. They be like I’m Gucci, but don’t shop there.",IDOL (Remix),featured,0.1735,88,5,0,0.405487,0.006664,0.413781,0.240278,0.023174,0.276796,0.372445,0.380549,disordered
bar_57,"Tell 'em I'm the ninja, Weezy is my Sensei
So I call him Splinter
Faster than a sprinter
Gimme my chopsticks, I'll have these rap bitches for dinner",Gotta Go Hard,primary,0.1713,116,5,0,0.339603,0.009882,0.351918,0.326959,0.119902,0.538727,0.337074,0.366136,uncertain_protein_like
bar_58,"But hey, maybe ill never win, maybe im settlin’
Cant let the devil in, im a comic book heroine
But when the win blows, im so Marilyn",Can Anybody Hear Me?,primary,0.1682,101,5,0,0.414585,0.005730,0.423112,0.279100,0.010445,0.289623,0.387488,0.396414,disordered
bar_59,"If I could turn back the time
Dear God, somehow, could you press rewind?
Won't come when I call, but He just in time
So I come when He call like I'm next in line",Encore ’07,primary,0.1636,121,5,0,0.375851,0.007664,0.386772,0.271316,0.009687,0.283430,0.354944,0.366103,disordered
bar_6,EVERYTHING I TRIED TO TEACH EM THEY GON SEE IT IN TIME TELL THEM BITCHES GET A STICK IM DONE LEADING THE BLIND,I’m The Best,primary,0.7394,88,5,0,0.430266,0.010502,0.447616,0.306170,0.020976,0.322696,0.405446,0.422321,disordered
bar_60,"Cause m*therf*ckers know I put the hex on b!tches, I f*ck a b!tch over like I'm Sex!ng b!tches, Tic-tac-toe, then I put the X on b!tches, Point game, I score, who's next, you b!tches?",Mercy,featured,0.1622,129,5,0,0.425238,0.009396,0.437498,0.276102,0.018212,0.289119,0.395411,0.407258,disordered
bar_61,"See, the difference is I run businesses
If I ain't employ you, then what yo' business is? I'll have staff roll up like, What the business is?",Red Ruby Da Sleeze,primary,0.1621,107,5,0,0.417297,0.009575,0.432984,0.320728,0.013631,0.337446,0.397984,0.413877,disordered
bar_62,"I catch rec of recreation, so I exceed all your expectations. Bitches ain’t got it in ‘em, I kill ‘em and then I skin ‘em. The contract was signed but I am the addendum",Blazin,primary,0.1565,127,5,0,0.414256,0.007321,0.426572,0.341751,0.018088,0.364603,0.399755,0.412925,disordered
bar_63,"I dumb my raps down, so I don't lose these bitches
Say some sex shit like, ""Wetter than jacuzzi bitches""",Baddest Bitch,primary,0.1527,80,5,0,0.502136,0.008235,0.510358,0.348889,0.002744,0.351901,0.471487,0.478195,disordered
bar_64,"Had to come off IG so they can't stalk me
All they do is copy looks, steal music, too
Wanted to see what bitches do when they lose the blueprint",Barbie Tingz,primary,0.1526,112,5,0,0.381003,0.033415,0.421630,0.223552,0.028066,0.261616,0.349513,0.389627,disordered
bar_65,"She saw somethin' in me that til this day I don't know if I could be that, But I'ma die trying and when I'm done crying Grab the iron, and black out like I'm retiring",Autobiography,primary,0.152,125,5,0,0.435986,0.003450,0.441996,0.302262,0.013457,0.320555,0.409241,0.414371,disordered
bar_66,"That’s why I call you buzz light year, cause by the time you start buzzing, bitch you gonna have white hair, paparazzi was a fright scare, when I landed out in London, it was looking like Mike, dear",Roman In Moscow,primary,0.1514,154,5,0,0.359329,0.009778,0.374108,0.363840,0.089192,0.488785,0.360232,0.380820,uncertain_protein_like
bar_67,"The one who came to take claim of this heart
Cold-hearted, shame you'll remain just a frame in the dark",Grand Piano,primary,0.1502,81,5,0,0.422583,0.011513,0.433011,0.217624,0.015448,0.235263,0.381592,0.391683,disordered
bar_68,"Wait, oh, let me see your phone cause all them bitches is Rachet. And don’t let me get in my truck cause all them bitches’ll catch it.",Right By My Side,primary,0.1462,102,5,0,0.464282,0.004790,0.473127,0.387194,0.004913,0.392366,0.448865,0.456287,disordered
bar_69,"I’m Big Willie no Bike Gear
I told you Btches last year I’m a rap Btch nightmare
That’s why I call you buzz light year
‘Cause by the time you start buzzin bitch you gon have white hair",Roman In Moscow,primary,0.1422,143,5,0,0.352398,0.010971,0.371146,0.242516,0.048766,0.334764,0.330422,0.363870,disordered
bar_7,You see I live for the bill I die for the bill I still make sure I read the bi to the ble and every time I write I’m precise in my skill it’s more to life than just ice in your grill,Sweetest Girl,primary,0.7308,138,5,0,0.315581,0.007178,0.324376,0.156259,0.026103,0.206600,0.283717,0.288084,disordered
bar_70,"When i fly, it’s one letter and one number, You wack hoes could get hot for one summer, After that the queen still reign here, I’m Santa Claus to these hoes without a reindeer.",I Am Your Leader,primary,0.1394,136,5,0,0.346471,0.014709,0.357314,0.221021,0.007761,0.233444,0.321381,0.329444,disordered
bar_71,"I keep a bar like Esco. I want a ball, where the nets go??? I’m on stage you can stand where the guests go,,,, bitches is my son’s. They don’t wanna leave the nest though.",You Already Know,featured,0.1394,123,5,0,0.355116,0.019713,0.376353,0.285136,0.061973,0.408606,0.341120,0.372834,uncertain_protein_like
bar_72,"To raise a child… it might take a village
But I wouldn’t know cause these bitches my sons yea they was and they still is",Danny Glover (Second Remix),featured,0.1382,94,5,0,0.442019,0.014298,0.459840,0.283676,0.014515,0.306761,0.410350,0.429225,disordered
bar_73,"Go against me, where your suicide letter? bitch wanna kill theyself then I let her! Soon as he say its go time, I get her, Told that bitch bow down when I met her",I Admit,featured,0.138,124,5,0,0.350040,0.013650,0.364275,0.227021,0.024848,0.274334,0.325436,0.335234,disordered
bar_74,"I just figured if you saw me, if you looked in my eyes You'd remember our connection and be freed from the lies",Bed of Lies,primary,0.1375,87,5,0,0.425456,0.015519,0.441065,0.291400,0.026475,0.337690,0.398645,0.411585,disordered
bar_75,"Don't fuck with people for being autistic
Instead, prove your worth, Nicki, suck on this dick
Sorry if my nut makes you choke
But neurodivergence isn't a joke",FEFE,featured,0.1364,126,5,0,0.416843,0.013820,0.431458,0.281698,0.023376,0.323984,0.389814,0.409963,disordered
bar_76,"let’s be real all you bitches wanna look like me, wanna be in demand get booked like me, wanna run up in the lab and cook like me",Barbie Tingz,primary,0.1188,99,5,0,0.347816,0.013188,0.371009,0.188567,0.008081,0.203165,0.315966,0.337440,disordered
bar_77,"Man this shtt that we be fighting over
So irrelevant
Ion even remember tho
I was prolly hella bent let’s go",Moment 4 Life,primary,0.1187,86,5,0,0.387206,0.006360,0.392452,0.236043,0.061194,0.356687,0.356973,0.374966,disordered
bar_78,"I'm not from Trinidad, not from Detroit
Shut the fuck up, if you want to exploit
A person's mind state isn't your humor
You've become a rap version of tumors",Shooters (Demo Remix),featured,0.1186,122,5,0,0.412668,0.012730,0.431829,0.355028,0.010722,0.371187,0.401140,0.416385,disordered
bar_79,Man I’m birthin these artists and I’m starting to show I feel freeeee I feel freedom I feel freedommmm why they mad! You should see them. Burn a L cause it’s crazy in here!,Freedom,primary,0.1082,133,5,0,0.435178,0.015509,0.453261,0.209699,0.007881,0.217683,0.390082,0.405295,disordered
bar_8,"I will retire with the ring
And I will retire with the crown, yes
No, I'm not lucky, I'm blessed, yes
Clap for the heavyweight champ, me
But I couldn't do it all alone, we",Moment 4 Life,primary,0.7108,128,5,0,0.376985,0.011623,0.390980,0.216642,0.012103,0.228500,0.344916,0.358484,disordered
bar_80,"I drove for miles just to find you and find myself, all these screams, all these voices in my head, you gave me strength gave me hope for a lifetime, I never was satisfied.",Save Me,primary,0.1068,134,5,0,0.335602,0.007745,0.350926,0.289577,0.121950,0.530947,0.326397,0.386930,uncertain_protein_like
bar_81,"Everyday a Queen you slept on,
I’m not talking about your mattress,but um
You the type of player I press eject on!",Nip Tuck,primary,0.1052,89,5,0,0.380223,0.015284,0.398739,0.257117,0.074721,0.399034,0.355602,0.398181,disordered
bar_82,"A bitch been sittin' back, just lettin' you bitches lie
Throwin' your likkle shots, I've been lettin' them slide 
Me against you, you know who they gon' decide
Tryin' to be down, application denied",Bahm Bahm,primary,0.105,152,5,0,0.346385,0.010401,0.356100,0.259043,0.039431,0.315004,0.328917,0.343353,disordered
bar_83,"Out in Tokyo, they calling me Nicki-san
Everywhere you go, they calling you Nicki's son
Coupes and trucks
Money bags Scrooge McDuck",Born Stunna (Remix),featured,0.1046,106,5,0,0.354955,0.009558,0.369945,0.244714,0.014841,0.267955,0.332907,0.343383,disordered
bar_84,"While you was trying to pull me down I leveled up
I leveled up twice, I leveled up three times
He tapped 'em and told 'em, She's mine
So even when I cried I knew I'd be fine",I’m Getting Ready,featured,0.1046,130,5,0,0.339637,0.008437,0.353660,0.216393,0.007585,0.226483,0.314988,0.327747,disordered
bar_9,"And everything I peeped, can't just unsee… Sips tea, and it's unsweet… Respect bad gyal when mi done speak",the light is coming,featured,0.7073,82,5,0,0.483205,0.028575,0.525817,0.351126,0.021426,0.379090,0.456789,0.493112,disordered
